"Indicators","S.No","Parameters","Type","Total Facility","April 11-12","April 12-13","Difference-April 12-13-April 11-12","Total Reported Facility","May 11-12","May 12-13","Difference-May 12-13-May 11-12","Total Reported Facility","June 11-12","June 12-13","Difference-June 12-13-June 11-12","Total Reported Facility","July 11-12","July 12-13","Difference-July 12-13-July 11-12","Total Reported Facility","August 11-12","August 12-13","Difference-August 12-13-August 11-12","Total Reported Facility","September 11-12","September 12-13","Difference-September 12-13-September 11-12","Total Reported Facility","October 11-12","October 12-13","Difference-October 12-13-October 11-12","Total Reported Facility","November 11-12","November 12-13","Difference-November 12-13-November 11-12","Total Reported Facility","December 11-12","December 12-13","Difference-December 12-13-December 11-12","Total Reported Facility","January 11-12","January 12-13","Difference-January 12-13-January 11-12","Total Reported Facility","February 11-12","February 12-13","Difference-February 12-13-February 11-12","Total Reported Facility","March 11-12","March 12-13","Difference-March 12-13-March 11-12","Total Reported Facility","Total 2011-2012","Total 2012-2013"
"M17 [Details of deaths reported during the month with probable causes:]","17.2.2","Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being Asphyxia","2. Between 1 week & 4 weeks of birth","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.2.2","Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being Asphyxia","3. Total","154",NA,"4","4","0",NA,"4","4","0",NA,"1","1","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"3","3","0",NA,"3","3","0",NA,NA,"0","0",NA,NA,"0","0",NA,"8","8","0",NA,NA,"0","0",NA,"23"
"M17 [Details of deaths reported during the month with probable causes:]","17.2.3","Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being LBW","1. Up to 1 Weeks of Birth","154",NA,"1","1","0","10","1","-9","0",NA,"6","6","0",NA,NA,"0","0","1","4","3","0","7","14","7","0","5","3","-2","0",NA,"6","6","0","4","2","-2","0","8","3","-5","0","2","5","3","0","2","7","5","0","39","52"
"M17 [Details of deaths reported during the month with probable causes:]","17.2.3","Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being LBW","2. Between 1 week & 4 weeks of birth","154",NA,NA,"0","0",NA,NA,"0","0",NA,"1","1","0",NA,NA,"0","0","9",NA,"-9","0","1","2","1","0",NA,"1","1","0",NA,"2","2","0","2","1","-1","0","1","1","0","0","1","1","0","0","1","2","1","0","15","11"
"M17 [Details of deaths reported during the month with probable causes:]","17.2.3","Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being LBW","3. Total","154",NA,"1","1","0","10","1","-9","0",NA,"7","7","0",NA,NA,"0","0","10","4","-6","0","8","16","8","0","5","4","-1","0",NA,"8","8","0","6","3","-3","0","9","4","-5","0","3","6","3","0","3","9","6","0","54","63"
"M17 [Details of deaths reported during the month with probable causes:]","17.2.4","Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being other than Sepsis, Asphyxia and LBW","1. Up to 1 Weeks of Birth","154",NA,NA,"0","0","5",NA,"-5","0",NA,"1","1","0",NA,"2","2","0",NA,"7","7","0","7","1","-6","0","1",NA,"-1","0",NA,"1","1","0","2",NA,"-2","0","1",NA,"-1","0",NA,"5","5","0","1",NA,"-1","0","17","17"
"M17 [Details of deaths reported during the month with probable causes:]","17.2.4","Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being other than Sepsis, Asphyxia and LBW","2. Between 1 week & 4 weeks of birth","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"2","2","0",NA,NA,"0","0","1",NA,"-1","0",NA,NA,"0","0",NA,NA,"0","0","1",NA,"-1","0","1",NA,"-1","0","4",NA,"-4","0",NA,NA,"0","0","7","2"
"M17 [Details of deaths reported during the month with probable causes:]","17.2.4","Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being other than Sepsis, Asphyxia and LBW","3. Total","154",NA,NA,"0","0","5",NA,"-5","0",NA,"1","1","0",NA,"4","4","0",NA,"7","7","0","8","1","-7","0","1",NA,"-1","0",NA,"1","1","0","3",NA,"-3","0","2",NA,"-2","0","4","5","1","0","1",NA,"-1","0","24","19"
"M17 [Details of deaths reported during the month with probable causes:]","17.3.1","Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Pneumonia","1. Between 1 month and 11 months","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.3.1","Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Pneumonia","2. Between 1 year & 5 years","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.3.1","Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Pneumonia","3. Total","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.3.2","Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Diarrhoea","1. Between 1 month and 11 months","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.3.2","Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Diarrhoea","2. Between 1 year & 5 years","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.3.2","Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Diarrhoea","3. Total","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.3.3","Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Fever related","1. Between 1 month and 11 months","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.3.3","Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Fever related","2. Between 1 year & 5 years","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.3.3","Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Fever related","3. Total","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.3.4","Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Measles","1. Between 1 month and 11 months","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.3.4","Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Measles","2. Between 1 year & 5 years","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.3.4","Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Measles","3. Total","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.3.5","Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being other than Pneumonia, Diarrhoea, Fever related and Measles","1. Between 1 month and 11 months","154",NA,NA,"0","0","1",NA,"-1","0",NA,NA,"0","0",NA,"2","2","0","2",NA,"-2","0",NA,NA,"0","0","2","1","-1","0",NA,NA,"0","0","3",NA,"-3","0","1",NA,"-1","0",NA,NA,"0","0","1",NA,"-1","0","10","3"
"M17 [Details of deaths reported during the month with probable causes:]","17.3.5","Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being other than Pneumonia, Diarrhoea, Fever related and Measles","2. Between 1 year & 5 years","154",NA,NA,"0","0",NA,NA,"0","0",NA,"2","2","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"2"
"M17 [Details of deaths reported during the month with probable causes:]","17.3.5","Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being other than Pneumonia, Diarrhoea, Fever related and Measles","3. Total","154",NA,NA,"0","0","1",NA,"-1","0",NA,"2","2","0",NA,"2","2","0","2",NA,"-2","0",NA,NA,"0","0","2","1","-1","0",NA,NA,"0","0","3",NA,"-3","0","1",NA,"-1","0",NA,NA,"0","0","1",NA,"-1","0","10","5"
"M17 [Details of deaths reported during the month with probable causes:]","17.4.1","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Diarrhoeal diseases","1. 6-14 yrs","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.1","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Diarrhoeal diseases","2. 15-55 yrs.","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.1","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Diarrhoeal diseases","3. Above 55 yrs.","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.1","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Diarrhoeal diseases","4. Total","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.2","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Tuberculosis","1. 6-14 yrs","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.2","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Tuberculosis","2. 15-55 yrs.","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.2","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Tuberculosis","3. Above 55 yrs.","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.2","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Tuberculosis","4. Total","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.3","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Respiratory diseases including infections","1. 6-14 yrs","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.3","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Respiratory diseases including infections","2. 15-55 yrs.","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.3","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Respiratory diseases including infections","3. Above 55 yrs.","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.3","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Respiratory diseases including infections","4. Total","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.4","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Malaria","1. 6-14 yrs","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.4","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Malaria","2. 15-55 yrs.","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.4","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Malaria","3. Above 55 yrs.","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.4","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Malaria","4. Total","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.5","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being other Fever related","1. 6-14 yrs","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.5","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being other Fever related","2. 15-55 yrs.","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.5","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being other Fever related","3. Above 55 yrs.","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.5","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being other Fever related","4. Total","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.6","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being HIV/AIDS","1. 6-14 yrs","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.6","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being HIV/AIDS","2. 15-55 yrs.","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.6","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being HIV/AIDS","3. Above 55 yrs.","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.6","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being HIV/AIDS","4. Total","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.7","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Heart disease or related to Hypertension","1. 6-14 yrs","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.7","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Heart disease or related to Hypertension","2. 15-55 yrs.","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","1",NA,"-1","0",NA,NA,"0","0","1",NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.7","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Heart disease or related to Hypertension","3. Above 55 yrs.","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.7","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Heart disease or related to Hypertension","4. Total","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","1",NA,"-1","0",NA,NA,"0","0","1",NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.8","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Neurological disease including strokes","1. 6-14 yrs","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.8","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Neurological disease including strokes","2. 15-55 yrs.","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.8","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Neurological disease including strokes","3. Above 55 yrs.","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.8","Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Neurological disease including strokes","4. Total","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.9(a)","Number of cases of Maternal deaths (age 15-49 years) with the probable cause being Abortion","1. 6-14 yrs","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.9(a)","Number of cases of Maternal deaths (age 15-49 years) with the probable cause being Abortion","2. 15-49 yrs","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.9(a)","Number of cases of Maternal deaths (age 15-49 years) with the probable cause being Abortion","3. Above 49 yrs.","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","1",NA,"-1","0",NA,NA,"0","0","1",NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.9(a)","Number of cases of Maternal deaths (age 15-49 years) with the probable cause being Abortion","4. Total","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","1",NA,"-1","0",NA,NA,"0","0","1",NA
"M17 [Details of deaths reported during the month with probable causes:]","17.4.9(b)","Number of cases of Maternal deaths (age 15-49 years) with the probable cause being Obstructed or prolonged labour","1. 6-14 yrs","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
